Phase,Task,Hours min,Hours max,Note
P0,Kickoff meeting + requirements confirmation,2,4,"Walk finalized scope, confirm 11 templates / 4 langs / payments / blocker"
P0,Collect + verify MySQL dump and product image files,2,5,"Integrity/coverage check; missing assets drive follow-ups"
P0,DNS + cPanel (WaveCom) access,1,3,"Credentials + inventory current MX/SPF/DKIM/DMARC"
P0,Client Hetzner account access + verification,1,2,"Confirm provisioning permissions (no procurement)"
P0,Client PayPal access + high-risk verification kickoff,1,3,"Start the launch-blocker process early"
P0,Repo / local dev / environment scaffolding,3,6,"Medusa+Astro+Keystatic boot locally"
P0,Access/secrets inventory + secure handoff,1,2,"Consolidate all creds, note gaps"
P1,VPS access intake / provisioning / DNS baseline,2,4,"ARM64 image confirm, base records for prod+staging"
P1,Ubuntu hardening,3,6,"SSH key-only, UFW, fail2ban, auto-updates"
P1,Docker Engine + Compose install & base config,1,2,"Log rotation, networks"
P1,Docker Compose stack authoring (PG+Redis+Medusa+Astro+Caddy),8,16,"Highest-effort infra task; ARM gotchas"
P1,Caddy reverse proxy + automatic SSL,3,6,"Routing storefront/admin/API/staging, Let's Encrypt"
P1,Persistent staging environment,5,10,"Isolated second stack on one box, basic-auth+noindex"
P1,Manual deploy scripts (no CI/CD),5,10,"Build/migrate/restart/rollback/promote"
P1,Backups (pg_dump cron) + restore test,3,6,"Off-VPS copy + proven restore"
P1,Runbook documentation,3,5,"Access, deploy, backup/restore, SSL, recovery"
P1,Integration smoke test / iteration / handoff,4,8,"Both stacks up, reboot-survival, fixes"
P2,PayPal Medusa v2 plugin install & config,4,8,"Wire provider, EE/EU regions, sandbox creds"
P2,PayPal capture flow + webhooks / status sync,6,12,"Authorize/capture, webhook signature, event mapping"
P2,Storefront PayPal checkout integration (Astro),6,12,"Button/redirect, callback, states"
P2,PayPal high-risk merchant verification support,6,18,"HIGH RISK; docs, compliance back-and-forth, resubmits"
P2,Manual bank-transfer payment method,6,12,"Custom offline provider + checkout instructions"
P2,Bank-transfer status flow + admin confirmation,4,8,"Mark-paid, gate fulfillment until confirmed"
P2,End-to-end checkout testing both methods,6,12,"Happy/cancel/deny/refund; EE+EU"
P2,Production live-mode switch + go-live smoke test,2,5,"Gated on verification (see reconcile: overlaps P9)"
P3,Design foundations (tokens/palette/type/forms),6,14,"TBD; moderate custom look on starter"
P3,Global chrome (header/nav/footer/mobile),5,12,"Restyle existing components"
P3,Home page template,5,12,"Most bespoke; most brief iteration"
P3,Category / store listing template,3,8,"Filters/sort/grid restyle"
P3,Product detail template,4,10,"Gallery/variants/add-to-cart polish"
P3,Cart + Checkout templates,5,12,"Multi-step; payment states styling"
P3,Account area (data/history/favorites),4,10,"~3 sub-views restyle"
P3,Blog list + post templates,3,8,"Long-form typography"
P3,Static pages template,2,4,"Reusable content layout"
P3,Empty/loading/error states/toasts/404,3,7,"Easy to under-scope"
P3,Cross-browser/responsive QA + a11y + polish,5,14,"Revision rounds live here — widest risk"
