Phase,Scope,Hours min,Hours max,EUR @15 min,EUR @15 max,EUR @20 min,EUR @20 max,Notes
P0,Kickoff & Access,11,25,165,375,220,500,"Accesses, MySQL dump verify, repo/env scaffold, PayPal verification kickoff"
P1,Infrastructure (VPS + staging),37,73,555,1095,740,1460,"Hetzner VPS, Docker stack, persistent staging, manual deploy scripts, backups, runbook"
P2,Payments [BLOCKER],40,87,600,1305,800,1740,"PayPal plugin+webhooks, high-risk verification support, manual bank transfer, E2E checkout"
P3,Design (TBD placeholder),45,111,675,1665,900,2220,"PLACEHOLDER — re-priced after design brief; ~11 templates, AI-assisted on Astro"
P4,Catalog & Data Migration,83,162,1245,2430,1660,3240,"Products/variants/images/customers + ALL orders incl. abandoned (highest data risk)"
P5,Localization (EN/FR/IT/ES),135,244,2025,3660,2700,4880,"i18n + translate UI + every product x3 + 80 blog x3 + static; proofreading is the cost"
P6,Blog & SEO,48,89,720,1335,960,1780,"80 posts HTML->Markdown (Keystatic) + old->new 301 map + sitemap/hreflang"
P7,Email Migration,13,27,195,405,260,540,"Zoho Free (3 mailboxes) + IMAP migration + DNS (MX/SPF/DKIM/DMARC) + Resend"
P8,QA & Acceptance,62,110,930,1650,1240,2200,"Full QA on staging (checkout, orders, 4 langs, redirects, responsive) + fixes + acceptance"
P9,Launch & Handover,61,118,915,1770,1220,2360,"Cutover, final delta sync, training, handover docs, warranty/bugfix period"
,Subtotal hands-on (incl. design),535,1046,8025,15690,10700,20920,"Sum of P0-P9 as independently estimated"
,Double-count adjustment,-13,-28,-195,-420,-260,-560,"Removes overlaps: PayPal live-switch, hreflang/sitemap, redirect checks, runbook/handover"
,Adjusted hands-on,522,1018,7830,15270,10440,20360,"After overlap correction"
,PM & coordination,55,110,825,1650,1100,2200,"Cross-phase planning, dependency tracking, vendor follow-up (~10-11%)"
,Client communication,25,55,375,825,500,1100,"Status, reviews/sign-off cycles, scheduling around client-held accounts"
,Risk / contingency buffer,90,190,1350,2850,1800,3800,"~17-18% on PayPal verification, order-matching, translation volume"
,Environment & dependency upkeep,15,30,225,450,300,600,"Staging refreshes, Medusa/plugin version drift, ARM re-verification"
,Cross-cutting subtotal,185,385,2775,5775,3700,7700,"Owned by no single phase"
,TOTAL (incl. design placeholder),707,1403,10605,21045,14140,28060,"Full envelope with P3 as placeholder"
,TOTAL (excl. design),662,1292,9930,19380,13240,25840,"Firmer scope; design priced separately after brief"
,Planning midpoint (incl. design),1055,1055,15825,15825,21100,21100,"(min+max)/2 — single planning figure"
,Planning midpoint (excl. design),977,977,14655,14655,19540,19540,"(min+max)/2 without design placeholder"
